Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Last Kiss","Pearl Jam","Last Kiss","Sugarrr","Playlist","USSM19805513","0QnONzv3TvHAWk294h6DaQ"
"Black","Pearl Jam","Ten","Sugarrr","Playlist","USSM19100412","5Xak5fmy089t0FYmh3VJiY"
"Scar Tissue","Red Hot Chili Peppers","Californication (Deluxe Edition)","Sugarrr","Playlist","USWB19900674","1G391cbiT3v3Cywg8T7DM1"
"Alive","Pearl Jam","Ten","Sugarrr","Playlist","USSM19100003","1L94M3KIu7QluZe63g64rv"
"Come As You Are - Live","Nirvana","MTV Unplugged In New York","Sugarrr","Playlist","USGF19972702","3sYWyVGfPuit80szWXhrRA"
"Under the Bridge","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","Sugarrr","Playlist","USWB19901576","3d9DChrdc6BOeFsbrZ3Is0"
"Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","Sugarrr","Playlist","GBQCP1400109","5qqabIl2vWzo9ApSC317sa"
"Good Riddance (Time of Your Life)","Green Day","Nimrod","Sugarrr","Playlist","USRE19700545","6ORqU0bHbVCRjXm9AjyHyZ"
"Scar Tissue","Red Hot Chili Peppers","Californication (Deluxe Edition)","Sugarrr","Playlist","USWB19900674","1G391cbiT3v3Cywg8T7DM1"
"Everlong - Acoustic Version","Foo Fighters","Greatest Hits","Sugarrr","Playlist","USRW30900002","3QmesrvdbPjwf7i40nht1D"
"Wish You Were Here","Pink Floyd","Wish You Were Here","Sugarrr","Playlist","GBN9Y1100088","6mFkJmJqdDVQ1REhVfGgd1"
"Snow (Hey Oh)","Red Hot Chili Peppers","Stadium Arcadium","Sugarrr","Playlist","USWB10601591","2aibwv5hGXSgw7Yru8IYTO"
"Be Yourself","Audioslave","Out of Exile","Sugarrr","Playlist","USIR10500509","3zwmW1gM4E8FlHXV5nE16u"
"Like a Stone","Audioslave","Audioslave","Sugarrr","Playlist","USSM10211587","2xt2piJx6jlFkjS77YiqpL"
"Comfortably Numb","Pink Floyd","The Wall","Sugarrr","Playlist","GBN9Y1100113","5HNCy40Ni5BZJFw1TKzRsC"
"Stairway to Heaven - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Sugarrr","Playlist","USAT21300959","5CQ30WqJwcep0pYcV4AMNc"
"Nothing Else Matters","Metallica","Metallica","Sugarrr","Playlist","GBF089190020","0nLiqZ6A27jJri2VCalIUs"
"Soldier of Love","Pearl Jam","Last Kiss","Sugarrr","Playlist","USSM19805514","0ll4shInilQVdYVrVVHpjB"
"The Unforgiven","Metallica","Metallica","Sugarrr","Playlist","GBF089190016","4aYLAF6ckQ5ooGGGM7sWAa"
"Dust in the Wind","Kansas","Point Of Know Return (Expanded Edition)","Sugarrr","Playlist","USSM10103196","6zeE5tKyr8Nu882DQhhSQI"
"Have You Ever Seen The Rain","Creedence Clearwater Revival","Pendulum (Expanded Edition)","Sugarrr","Playlist","USC4R0817643","2LawezPeJhN4AWuSB0GtAU"
"Don't Cry (Original)","Guns N' Roses","Use Your Illusion I","Sugarrr","Playlist","USGF19141504","2N2yrmodOnVF10mKvItC9P"
"The Unforgiven II","Metallica","Reload","Sugarrr","Playlist","GBAMC9700004","6nswV1Lz3OZkaiCJfmVUOa"
"Tears in Heaven - Acoustic Live","Eric Clapton","Unplugged (Deluxe Edition) (Live)","Sugarrr","Playlist","USRE11300314","3UqHlIBI771FNCiLY5MKrp"
"Wind Of Change","Scorpions","Crazy World","Sugarrr","Playlist","USPG19090037","3ovjw5HZZv43SxTwApooCM"
"Alive - Pearl Jam Live On 10 Legs","Pearl Jam","Live On Ten Legs","Sugarrr","Playlist","USA321000979","09zhWp3tLWGON653KoW5hS"
"Summer Of '69 - MTV Unplugged Version","Bryan Adams","MTV Unplugged","Sugarrr","Playlist","USAM19774903","1OQpTtcuAauAqp5Okxtbs2"
"Snuff","Slipknot","All Hope Is Gone (10th Anniversary)","Sugarrr","Playlist","NLA320887000","2vPZ4Lklyu75zBR3SgbFNI"
"Layla - Acoustic Live","Eric Clapton","Unplugged (Live)","Sugarrr","Playlist","USRE11300317","0zxj7dVhYZq5ACyaDx5XIo"
"So Far Away","Avenged Sevenfold","Nightmare","Sugarrr","Playlist","USWB11001436","7Hr1Ignop7cymbE3FbOtXa"
"Far Away","Nickelback","All the Right Reasons","Sugarrr","Playlist","NLA320581338","0ADZ5dmXhlfzjMw6lefoPl"
"It's My Life","Bon Jovi","Crush","Sugarrr","Playlist","USIR20000145","0v1XpBHnsbkCn7iJ9Ucr1l"
"The Final Countdown","Europe","The Final Countdown (Expanded Edition)","Sugarrr","Playlist","USSM18600196","3MrRksHupTVEQ7YbA0FsZK"
"Californication","Red Hot Chili Peppers","Californication (Deluxe Edition)","Sugarrr","Playlist","USWB19900690","48UPSzbZjgc449aqz8bxox"
"Zombie","The Cranberries","No Need To Argue (The Complete Sessions 1994-1995)","Sugarrr","Playlist","USIR29400443","7EZC6E7UjZe63f1jRmkWxt"
"Dream On","Aerosmith","Aerosmith","Sugarrr","Playlist","USSM10011897","5MxNLUsfh7uzROypsoO5qe"
"Every Breath You Take","The Police","Synchronicity (Remastered 2003)","Sugarrr","Playlist","GBAAM0201110","1JSTJqkT5qHq8MDJnJbRE1"
"Iris","The Goo Goo Dolls","Dizzy up the Girl","Sugarrr","Playlist","USWB19800160","6Qyc6fS4DsZjB2mRW9DsQs"
"Otherside","Red Hot Chili Peppers","Californication (Deluxe Edition)","Sugarrr","Playlist","USWB19900693","64BbK9SFKH2jk86U3dGj2P"
"Do I Wanna Know?","Arctic Monkeys","AM","Sugarrr","Playlist","GBCEL1300362","5FVd6KXrgO9B3JPmC8OPst"
"I Wanna Be Yours","Arctic Monkeys","AM","Sugarrr","Playlist","GBCEL1300373","5XeFesFbtLpXzIVDNQP22n"
"Why'd You Only Call Me When You're High?","Arctic Monkeys","AM","Sugarrr","Playlist","GBCEL1300370","086myS9r57YsLbJpU0TgK9"
"505","Arctic Monkeys","Favourite Worst Nightmare","Sugarrr","Playlist","GBCEL0700074","0BxE4FqsDD1Ot4YuBXwAPp"
"R U Mine?","Arctic Monkeys","AM","Sugarrr","Playlist","GBCEL1300363","2AT8iROs4FQueDv2c8q2KE"
"Fluorescent Adolescent","Arctic Monkeys","Favourite Worst Nightmare","Sugarrr","Playlist","GBCEL0700067","2x8evxqUlF0eRabbW2JBJd"
"Four Out Of Five","Arctic Monkeys","Tranquility Base Hotel & Casino","Sugarrr","Playlist","GBCEL1800169","5Z5nbOXhsSbySVC7WUc6y9"
"Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","Sugarrr","Playlist","USGF18714809","7o2CTH4ctstm8TNelqjb51"
"You Give Love A Bad Name","Bon Jovi","Slippery When Wet","Sugarrr","Playlist","USPR39402224","0rmGAIH9LNJewFw7nKzZnc"
"Livin' On A Prayer","Bon Jovi","Slippery When Wet","Sugarrr","Playlist","USPR38619998","37ZJ0p5Jm13JPevGcx4SkF"
"Smells Like Teen Spirit","Nirvana","Nevermind (Deluxe Edition)","Sugarrr","Playlist","USGF19942501","1f3yAtsJtY87CTmM8RLnxf"
"In the End","Linkin Park","Hybrid Theory (Bonus Edition)","Sugarrr","Playlist","USWB10002407","60a0Rd6pjrkxjPbaKzXjfq"
"Immigrant Song - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","Sugarrr","Playlist","USAT21300934","78lgmZwycJ3nzsdgmPPGNx"
"Whole Lotta Love - 1990 Remaster","Led Zeppelin","Led Zeppelin II (1994 Remaster)","Sugarrr","Playlist","USAT29900471","0hCB0YR03f6AmQaHbwWDe8"
"Closer","Kings of Leon","Only By The Night","Sugarrr","Playlist","USRC10800298","1O8d2pWtBclzuY3FctBPVa"
"Use Somebody","Kings of Leon","Only By The Night","Sugarrr","Playlist","USRC10800301","5VGlqQANWDKJFl0MBG3sg2"
"Sex on Fire","Kings of Leon","Only By The Night","Sugarrr","Playlist","USRC10800300","0ntQJM78wzOLVeCUAW7Y45"
"Africa","TOTO","Toto IV","Sugarrr","Playlist","USSM19801941","2374M0fQpWi3dLnB54qaLX"
"Hey Joe","Jimi Hendrix","Are You Experienced","Sugarrr","Playlist","USQX90900767","0NWPxcsf5vdjdiFUI8NgkP"
"Sweet Emotion","Aerosmith","Toys In The Attic","Sugarrr","Playlist","USSM19906482","73TxYZd0lBCVRrHawrAglA"
"Bohemian Rhapsody - Remastered 2011","Queen","A Night At The Opera (2011 Remaster)","Sugarrr","Playlist","GBUM71029604","4u7EnebtmKWzUH433cf5Qv"
"Basket Case","Green Day","International Superhits!","Sugarrr","Playlist","USRE19900151","3wr2d7pc6n1uKXOXZCX8LT"
"Where Did You Sleep Last Night - Live","Nirvana","MTV Unplugged In New York","Sugarrr","Playlist","USGF19972714","551qy5vUgrUfEUc4dCNfht"
"Cocaine","Eric Clapton","Slowhand 35th Anniversary","Sugarrr","Playlist","NLF057790024","2udGjDmpK1dH9VGyw7nrei"
"Down In A Hole (2022 Remaster)","Alice In Chains","Dirt (2022 Remaster)","Sugarrr","Playlist","USSM10023130","7FRfYOql61DGDp9VPPe2qA"
"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996","Alice In Chains","Unplugged","Sugarrr","Playlist","USSM19601539","3QAE7ypzhNZzQxOjKCGHD9"
"Yellow Ledbetter","Pearl Jam","Jeremy","Sugarrr","Playlist","USSM19200006","3bE5slaVEfaDreqARl6k4M"
"Creep","Radiohead","Pablo Honey","Sugarrr","Playlist","GBAYE9200070","70LcF31zb1H0PyJoS1Sx1r"
"Jeremy","Pearl Jam","Ten","Sugarrr","Playlist","USSM19100674","62nQ8UZVqR2RMvkJHkcO2o"
"Even Flow","Pearl Jam","Ten","Sugarrr","Playlist","USSM19100673","6QewNVIDKdSl8Y3ycuHIei"
"Another Brick in the Wall, Pt. 2","Pink Floyd","The Wall","Sugarrr","Playlist","GBN9Y1100099","4gMgiXfqyzZLMhsksGmbQV"
"September","Earth, Wind & Fire","September (sped up + slowed)","Sugarrr","Playlist","USSM17800845","3kXoKlD84c6OmIcOLfrfEs"
"Run To You","Bryan Adams","Reckless (30th Anniversary / Deluxe Edition)","Sugarrr","Playlist","USAM18490003","2RWFncSWZEhSRRifqiDNVV"
"Mr. Brightside","The Killers","Hot Fuss","Sugarrr","Playlist","USIR20400274","003vvx7Niy0yvhvHt4a68B"
"Ain't Talkin' 'Bout Love","Van Halen","Best of Volume 1","Sugarrr","Playlist","USWB17700031","0ddmUcKR9WjqmaT4FlhMNU"
"Dreams - 2004 Remaster","Fleetwood Mac","Rumours (Super Deluxe)","Sugarrr","Playlist","USWB11301111","0ofHAoxe9vBkTCp2UQIavz"
"Message In A Bottle","The Police","Reggatta De Blanc (Remastered 2003)","Sugarrr","Playlist","GBAAM0201170","1oYYd2gnWZYrt89EBXdFiO"
"Under Pressure - Remastered 2011","Queen","Hot Space (2011 Remaster)","Sugarrr","Playlist","GBUM71029622","2fuCquhmrzHpu5xcA1ci9x"
"Can't Stop","Red Hot Chili Peppers","By the Way (Deluxe Edition)","Sugarrr","Playlist","USWB10201694","3ZOEytgrvLwQaqXreDs2Jx"
"Money","Pink Floyd","The Dark Side of the Moon","Sugarrr","Playlist","GBN9Y1100081","0vFOzaXqZHahrZp6enQwQb"
"Walk This Way","Aerosmith","Toys In The Attic","Sugarrr","Playlist","USSM19906481","4JfuiOWlWCkjP6OKurHjSn"
"Sultans Of Swing","Dire Straits","Dire Straits","Sugarrr","Playlist","GBF089601041","37Tmv4NnfQeb0ZgUC4fOJj"
"Knockin' On Heaven's Door","Guns N' Roses","Use Your Illusion II","Sugarrr","Playlist","USGF19142004","4JiEyzf0Md7KEFFGWDDdCr"
"Smoke On The Water - Remastered 2012","Deep Purple","Machine Head (Remastered)","Sugarrr","Playlist","GBDXG1200006","5MMnwYs0hIxkENRsbkWJ2G"
"Dani California","Red Hot Chili Peppers","Stadium Arcadium","Sugarrr","Playlist","USWB10600700","10Nmj3JCNoMeBQ87uw5j8k"
"Seven Nation Army","The White Stripes","Elephant","Sugarrr","Playlist","USVT10300001","3dPQuX8Gs42Y7b454ybpMR"
"Welcome To The Jungle","Guns N' Roses","Appetite For Destruction","Sugarrr","Playlist","USGF18714801","0G21yYKMZoHa30cYVi1iA8"
"Kashmir - Remaster","Led Zeppelin","Physical Graffiti (Deluxe Edition)","Sugarrr","Playlist","USAT21300969","6Vjk8MNXpQpi0F4BefdTyq"
"Wanted Dead Or Alive","Bon Jovi","Slippery When Wet","Sugarrr","Playlist","USPR39402222","0oerlffJSzhRVvtDfLcp3N"
"Dark Necessities","Red Hot Chili Peppers","The Getaway","Sugarrr","Playlist","USWB11600478","2oaK4JLVnmRGIO9ytBE1bt"
"Sunshine Of Your Love","Cream","Disraeli Gears (Deluxe Edition)","Sugarrr","Playlist","GBA076700020","2K2M0TcglCRLLpFOzKeFZA"
"Layla","Derek & The Dominos","Layla And Other Assorted Love Songs (Remastered 2010)","Sugarrr","Playlist","GBUM71028890","2kkvB3RNRzwjFdGhaUA0tz"
"Time","Pink Floyd","The Dark Side of the Moon","Sugarrr","Playlist","GBN9Y1100079","3TO7bbrUKrOSPGRTB5MeCz"
"Don't Stop Me Now - Remastered 2011","Queen","Jazz (2011 Remaster)","Sugarrr","Playlist","GBUM71029610","5T8EDUDqKcs6OSOwEsfqG7"
"Killing In The Name","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","Sugarrr","Playlist","USSM11205433","59WN2psjkt1tyaxjspN8fp"
"Another One Bites The Dust - Remastered 2011","Queen","The Game (2011 Remaster)","Sugarrr","Playlist","GBUM71029605","5vdp5UmvTsnMEMESIF2Ym7"
"A National Acrobat (2009 Remaster)","Black Sabbath","Sabbath Bloody Sabbath","Sugarrr","Playlist","GBAJE7300023","6iJuDBangLQkI7cc9MdjPw"
"Eye of the Tiger","Survivor","Rocky IV","Sugarrr","Playlist","USVR19600010","2KH16WveTQWT6KOG9Rg6e2"
"Pyro","Kings of Leon","Come Around Sundown (Expanded Edition)","Sugarrr","Playlist","USRC11000687","0umDVf77ygI5RiVp9OvNDj"
"The Less I Know The Better","Tame Impala","Currents","Sugarrr","Playlist","AUUM71500303","6K4t31amVTZDgR3sKmwUJJ"
"Notion","Kings of Leon","Only By The Night","Sugarrr","Playlist","USRC10800305","40e9kU9Wd4vbedqSA7Io4n"
"Paradise City","Guns N' Roses","Appetite For Destruction","Sugarrr","Playlist","USGF18714806","6eN1f9KNmiWEhpE2RhQqB5"
"Wake Me up When September Ends","Green Day","American Idiot","Sugarrr","Playlist","USRE10400992","3ZffCQKLFLUvYM59XKLbVm"
"Heart-Shaped Box","Nirvana","In Utero (Deluxe Edition)","Sugarrr","Playlist","USGF19960703","11LmqTE2naFULdEP94AUBa"
"Breathe (In the Air)","Pink Floyd","The Dark Side of the Moon","Sugarrr","Playlist","GBN9Y1100077","2ctvdKmETyOzPb2GiJJT53"
"Time","Pink Floyd","The Dark Side of the Moon","Sugarrr","Playlist","GBN9Y1100079","3TO7bbrUKrOSPGRTB5MeCz"
"Heaven","Bryan Adams","Reckless (30th Anniversary / Deluxe Edition)","Sugarrr","Playlist","USAM18490004","7Ewz6bJ97vUqk5HdkvguFQ"
"Wherever You Will Go","The Calling","Camino Palmero","Sugarrr","Playlist","USRC10001047","5QpaGzWp0hwB5faV8dkbAz"
"One Last Breath","Creed","Weathered","Sugarrr","Playlist","USWU30107505","42T2QQv3xgBlpQxaSP7lnK"
"Everlong","Foo Fighters","The Colour And The Shape","Sugarrr","Playlist","USRW29600011","5UWwZ5lm5PKu6eKsHAGxOk"
"Wait for Me","Kings of Leon","Mechanical Bull (Expanded Edition)","Sugarrr","Playlist","USRC11300789","2nO1DYEg1X5GHi8SSuNJQj"
"Waste A Moment","Kings of Leon","WALLS","Sugarrr","Playlist","USRC11601471","5LlsD7LdSMkGV4Iu0a2Zq0"
"Supersoaker","Kings of Leon","Mechanical Bull (Expanded Edition)","Sugarrr","Playlist","USRC11300780","4cQIbDqCZrHknxlDUjRHZ0"
"Free Bird","Lynyrd Skynyrd","Pronounced' Leh-'Nerd 'Skin-'Nerd","Sugarrr","Playlist","USMC17301722","5EWPGh7jbTNO2wakv8LjUI"
"November Rain","Guns N' Roses","Use Your Illusion I","Sugarrr","Playlist","USGF19141510","3YRCqOhFifThpSRFJ1VWFM"
"Hotel California - 2013 Remaster","Eagles","Hotel California (2013 Remaster)","Sugarrr","Playlist","USEE11300353","40riOy7x9W7GXjyGp4pjAv"
"The Pretender","Foo Fighters","Echoes, Silence, Patience & Grace","Sugarrr","Playlist","USRW30700007","7x8dCjCr0x6x2lXKujYD34"
"Man in the Box","Alice In Chains","Facelift","Sugarrr","Playlist","USSM19000727","6gZVQvQZOFpzIy3HblJ20F"
"Rooster (2022 Remaster)","Alice In Chains","Dirt (2022 Remaster)","Sugarrr","Playlist","USSM19200881","0wvIGFIgbyz4JNwQhZgTv2"
"The Great Gig in the Sky","Pink Floyd","The Dark Side of the Moon","Sugarrr","Playlist","GBN9Y1100080","2TjdnqlpwOjhijHCwHCP2d"
"Wonderful Tonight","Eric Clapton","Slowhand 35th Anniversary (Super Deluxe)","Sugarrr","Playlist","NLF057790025","6zC0mpGYwbNTpk9SKwh08f"
"Song #3","Stone Sour","Hydrograd","Sugarrr","Playlist","NLA321700079","5jsDxDkJ1PqyYUWhDMr86B"
"Faint","Linkin Park","Meteora","Sugarrr","Playlist","USWB10300468","4Yf5bqU3NK4kNOypcrLYwU"
"Wonderful Tonight - Live","Eric Clapton","One More Car, One More Rider (Live)","Sugarrr","Playlist","USRE10201378","41er1m9f0njINzwuOIKhri"
"WALLS","Kings of Leon","WALLS","Sugarrr","Playlist","USRC11601480","41QhRnFDdhMLtR8tmnolbr"
"Bring Me To Life","Evanescence","Fallen","Sugarrr","Playlist","USWU30200093","0COqiPhxzoWICwFCS4eZcp"
"Heartbreak Warfare","John Mayer","Battle Studies","Sugarrr","Playlist","USSM10905699","4gs07VlJST4bdxGbBsXVue"
"Whiskey In The Jar","Thin Lizzy","Shades Of A Blue Orphanage (Deluxe)","Sugarrr","Playlist","GBF077220250","2uLx3Gka9TGCz9Zgu7Uwav"
"The Boys Are Back In Town","Thin Lizzy","Jailbreak (Deluxe Edition)","Sugarrr","Playlist","GBF087600063","43DeSV93pJPT4lCZaWZ6b1"
"Purple Haze","Jimi Hendrix","Are You Experienced","Sugarrr","Playlist","USQX90900765","0wJoRiX5K5BxlqZTolB2LD"
"Still Got The Blues","Gary Moore","Still Got The Blues","Sugarrr","Playlist","GBAAA9000090","0DnGfA1r8pAssJCuq4ojla"
"Let It Happen","Tame Impala","Currents","Sugarrr","Playlist","AUUM71500292","2X485T9Z5Ly0xyaghN73ed"
"Love Of My Life - Remastered 2011","Queen","A Night At The Opera (Deluxe Edition 2011 Remaster)","Sugarrr","Playlist","GBUM71100536","4YJUTdZ0Pgl0ZeNyHYXeLd"
"My Heart Will Go On - Love Theme from ""Titanic""","C̩line Dion","Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition","Sugarrr","Playlist","CAC229700123","7F1yVPuJ4xRdrDvf8OL0HF"
"We Are The Champions - Remastered 2011","Queen","News Of The World (2011 Remaster)","Sugarrr","Playlist","GBUM71029619","1lCRw5FEZ1gPDNPzy1K4zW"
"Stand By Me","Ben E. King","Don't Play That Song (Mono)","Sugarrr","Playlist","USAT21402270","3SdTKo2uVsxFblQjpScoHy"
"No Woman No Cry","Bob Marley & The Wailers","Natty Dread","Sugarrr","Playlist","GBAAN7490002","3PQLYVskjUeRmRIfECsL0X"
"Redemption Song","Bob Marley & The Wailers","Uprising","Sugarrr","Playlist","USIR28000018","26PwuMotZqcczKLHi4Htz3"
"Shape Of My Heart","Sting","Ten Summoner's Tales","Sugarrr","Playlist","GBAAM9390010","6CKoWCWAqEVWVjpeoJXyNH"
"On Call","Kings of Leon","Because Of The Times","Sugarrr","Playlist","USRC10700014","28POcTYQKfkjz6qTIvtjG1"
"Would? (2022 Remaster)","Alice In Chains","Dirt (2022 Remaster)","Sugarrr","Playlist","USSM19200805","5sFDReWLrZHLFZFjHsjUTS"
"Always","Bon Jovi","Cross Road","Sugarrr","Playlist","USPR39412221","2RChe0r2cMoyOvuKobZy44"
"Billie Jean","Michael Jackson","The Essential Michael Jackson","Sugarrr","Playlist","USSM19902991","4vO24keemHgi3JoCLIQAq9"
"How Long","Eagles","Long Road out of Eden","Sugarrr","Playlist","USJ5T0700003","7hq1Zo9SwHN8Hi2Q4vn6PU"
"You And Me","Lifehouse","Lifehouse","Sugarrr","Playlist","USDW10500001","0815caqt2Lytro5EIzMufT"
"I'm Just a Kid","Simple Plan","No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)","Sugarrr","Playlist","USAT20111234","6otiaV2fagE3s8IvP6WkwG"
"Misirlou","Dick Dale","Wanna Surf?","Sugarrr","Playlist","DEZZ52173008","3OnCnEWgy79xR5pr2kv4TX"
"Hip To Be Square","Huey Lewis & The News","Fore!","Sugarrr","Playlist","USCH38600003","648BMGrt98kUbLo24A4vgj"
"You Shook Me All Night Long","AC/DC","Back In Black","Sugarrr","Playlist","AUAP08000047","2SiXAy7TuUkycRVbbWDEpo"
"More Than Words","Extreme","Extreme II - Pornograffitti","Sugarrr","Playlist","USAM19090005","1gVgkQFOKa8Wc1HYsJtPdH"
"Instant Crush (feat. Julian Casablancas)","Daft Punk","Random Access Memories","Sugarrr","Playlist","USQX91300105","2cGxRwrMyEAp8dEbuZaVv6"
"Forever Young","Alphaville","Forever Young","Sugarrr","Playlist","DEA629260150","4S1VYqwfkLit9mKVY3MXoo"
"Love Hurts","Incubus","Light Grenades","Sugarrr","Playlist","USSM10604653","5JTgqOeHWg4bxMZYMRTE4H"
"Shine","Collective Soul","Hints, Allegations & Things Left Unsaid","Sugarrr","Playlist","USAT29300016","77YKoNCjP5hWqiXMRG2839"
"Linger","The Cranberries","Everybody Else Is Doing It, So Why Can't We?","Sugarrr","Playlist","USIR29300085","0gEyKnHvgkrkBM6fbeHdwK"
"Simple Man","Lynyrd Skynyrd","Pronounced' Leh-'Nerd 'Skin-'Nerd","Sugarrr","Playlist","USMC17301726","1ju7EsSGvRybSNEsRvc7qY"